iter	Passed	Remaining
773	16726	4883
774	16746	4861
775	16768	4840
776	16790	4818
777	16812	4797
778	16834	4776
779	16855	4754
780	16876	4732
781	16900	4711
782	16920	4689
783	16939	4667
784	16959	4644
785	16979	4623
786	17002	4601
787	17024	4580
788	17048	4559
789	17068	4537
790	17089	4515
791	17111	4493
792	17131	4471
793	17151	4449
794	17171	4427
795	17193	4406
796	17213	4384
797	17236	4363
798	17256	4341
799	17277	4319
800	17301	4298
801	17321	4276
802	17341	4254
803	17361	4232
804	17381	4210
805	17403	4189
806	17424	4167
807	17449	4146
808	17475	4125
809	17498	4104
810	17520	4083
811	17540	4061
812	17560	4039
813	17580	4017
814	17605	3996
815	17625	3974
816	17650	3953
817	17670	3931
818	17695	3910
819	17716	3888
820	17735	3866
821	17755	3844
822	17778	3823
823	17806	3803
824	17826	3781
825	17852	3760
826	17872	3738
827	17893	3717
828	17915	3695
829	17935	3673
830	17956	3651
831	17977	3630
832	17999	3608
833	18018	3586
834	18043	3565
835	18073	3545
836	18096	3524
837	18116	3502
838	18136	3480
839	18156	3458
840	18175	3436
841	18196	3414
842	18217	3392
843	18238	3371
844	18261	3349
845	18281	3327
846	18303	3306
847	18322	3284
848	18343	3262
849	18363	3240
850	18383	3218
851	18407	3197
852	18428	3175
853	18450	3154
854	18472	3132
855	18497	3111
856	18517	3089
857	18537	3067
858	18557	3046
859	18577	3024
860	18598	3002
861	18619	2980
862	18639	2958
863	18662	2937
864	18683	2915
865	18704	2894
866	18725	2872
867	18745	2850
868	18765	2828
869	18787	2807
870	18813	2786
871	18832	2764
872	18855	2743
873	18876	2721
874	18900	2700
875	18920	2678
876	18940	2656
877	18960	2634
878	18980	2612
879	19001	2591
880	19021	2569
881	19044	2547
882	19070	2526
883	19090	2505
884	19112	2483
885	19132	2461
886	19152	2439
887	19173	2418
888	19193	2396
889	19217	2375
890	19238	2353
891	19260	2332
892	19281	2310
893	19302	2288
894	19323	2267
895	19344	2245
896	19364	2223
897	19383	2201
898	19406	2180
899	19426	2158
900	19446	2136
901	19470	2115
902	19491	2093
903	19513	2072
904	19534	2050
905	19554	2028
906	19574	2007
907	19595	1985
908	19618	1963
909	19638	1942
910	19658	1920
911	19681	1899
912	19700	1877
913	19724	1855
914	19744	1834
915	19763	1812
916	19784	1790
917	19808	1769
918	19831	1747
919	19852	1726
920	19876	1704
921	19896	1683
922	19920	1661
923	19940	1640
924	19960	1618
925	19981	1596
926	20006	1575
927	20026	1553
928	20047	1532
929	20070	1510
930	20090	1488
931	20115	1467
932	20135	1445
933	20155	1424
934	20176	1402
935	20197	1381
936	20223	1359
937	20243	1338
938	20266	1316
939	20286	1294
940	20307	1273
941	20331	1251
942	20351	1230
943	20371	1208
944	20392	1186
945	20414	1165
946	20437	1143
947	20457	1122
948	20480	1100
949	20504	1079
950	20528	1057
951	20548	1036
952	20569	1014
953	20589	992
954	20612	971
955	20632	949
956	20652	927
957	20675	906
958	20697	884
959	20719	863
960	20739	841
961	20759	820
962	20779	798
963	20800	776
964	20823	755
965	20843	733
966	20868	712
967	20891	690
968	20912	669
969	20935	647
970	20955	625
971	20975	604
972	20995	582
973	21016	561
974	21039	539
975	21059	517
976	21082	496
977	21103	474
978	21134	453
979	21160	431
980	21180	410
981	21200	388
982	21223	367
983	21246	345
984	21266	323
985	21288	302
986	21308	280
